"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Проверка корректности перехода между разделами:
    * При клике на кнопку навигации должен происходить переход в соответствующий раздел
    * Должен отображаться корректный заголовок раздела
    ","109","Проверка навигации по разделам главной страницы","tests","Wed Aug 06 16:32:59 YEKT 2025","passed","Wed Aug 06 16:32:59 YEKT 2025","TestMainPage","test_main_page","",""
"
    Проверка работы счетчика добавленных ингредиентов:
    * При добавлении ингредиента в конструктор должен увеличиваться соответствующий счетчик
    * Счетчик должен отображать корректное количество добавленных ингредиентов
    ","76","Проверка счетчика ингредиентов при добавлении","tests","Wed Aug 06 16:35:02 YEKT 2025","passed","Wed Aug 06 16:35:02 YEKT 2025","TestMainPage","test_main_page","",""
"
    Проверка корректности перехода в личный кабинет:
    * Авторизованный пользователь должен иметь доступ к разделу ""Профиль""
    * При переходе в личный кабинет должен отображаться корректный заголовок раздела
    ","14923","Проверка доступа к профилю после авторизации","tests","Wed Aug 06 16:46:55 YEKT 2025","passed","Wed Aug 06 16:47:10 YEKT 2025","TestUserProfile","test_user_profile","",""
"
    Проверка функционала закрытия модального окна:
    * При клике на кнопку закрытия модальное окно должно скрываться
    * После закрытия окно не должно отображаться на странице
    ","703","Проверка закрытия модального окна","tests","Wed Aug 06 16:36:09 YEKT 2025","passed","Wed Aug 06 16:36:10 YEKT 2025","TestMainPage","test_main_page","",""
"
    Проверка корректности работы раздела истории заказов:
    * Авторизованный пользователь должен иметь доступ к истории заказов
    * Раздел ""История заказов"" должен корректно активироваться при переходе
    ","9573","Проверка доступа к истории заказов","tests","Wed Aug 06 16:48:06 YEKT 2025","passed","Wed Aug 06 16:48:15 YEKT 2025","TestUserProfile","test_user_profile","",""
"
    Проверка функционала показа/скрытия пароля:
    * При клике на иконку глаза поле пароля должно менять свое состояние
    * Должна изменяться подсветка/стиль поля при изменении его видимости
    ","342","Проверка видимости поля ввода пароля","tests","Wed Aug 06 16:42:19 YEKT 2025","passed","Wed Aug 06 16:42:19 YEKT 2025","TestPassRestore","test_pass_restore","",""
"
    Проверка работы счетчиков заказов:
    * При создании нового заказа должен увеличиваться счетчик ""Выполнено за все время""
    * При создании нового заказа должен увеличиваться счетчик ""Выполнено за сегодня""
    * Увеличение счетчиков должно быть синхронным
    ","16623","Проверка обновления счетчиков заказов","tests","Wed Aug 06 16:21:21 YEKT 2025","passed","Wed Aug 06 16:21:38 YEKT 2025","TestFeedPage","test_feed_page","",""
"
    Проверка полного цикла восстановления пароля:
    * Система должна запрашивать email пользователя
    * После ввода email система должна переходить на этап ввода кода подтверждения
    * Должно отображаться соответствующее сообщение о необходимости ввода кода
    ","1359","Проверка процесса восстановления пароля","tests","Wed Aug 06 16:41:44 YEKT 2025","passed","Wed Aug 06 16:41:46 YEKT 2025","TestPassRestore","test_pass_restore","",""
"
    Проверка корректности выхода из системы:
    * После нажатия кнопки ""Выход"" пользователь должен быть перенаправлен на страницу авторизации
    * Должен отображаться корректный заголовок страницы авторизации
    ","15776","Проверка выхода из учетной записи","tests","Wed Aug 06 16:48:50 YEKT 2025","passed","Wed Aug 06 16:49:06 YEKT 2025","TestUserProfile","test_user_profile","",""
"
    Проверка полного цикла оформления заказа:
    * Авторизованный пользователь должен иметь возможность оформить заказ
    * После оформления должен отображаться номер заказа
    * Номер заказа должен быть валидным (отличаться от тестового значения)
    ","17626","Проверка оформления заказа авторизованным пользователем","tests","Wed Aug 06 16:37:18 YEKT 2025","passed","Wed Aug 06 16:37:35 YEKT 2025","TestMainPage","test_main_page","",""
"
    Проверка работы модального окна:
    * При клике на ингредиент должно открываться модальное окно с деталями
    * Окно должно содержать корректный заголовок
    ","106","Проверка отображения деталей ингредиента в модальном окне","tests","Wed Aug 06 16:35:20 YEKT 2025","passed","Wed Aug 06 16:35:20 YEKT 2025","TestMainPage","test_main_page","",""
"
    Проверка работы счетчиков заказов:
    * При создании нового заказа должен увеличиваться счетчик ""Выполнено за все время""
    * При создании нового заказа должен увеличиваться счетчик ""Выполнено за сегодня""
    * Увеличение счетчиков должно быть синхронным
    ","10483","Проверка обновления счетчиков заказов","tests","Wed Aug 06 16:22:13 YEKT 2025","passed","Wed Aug 06 16:22:23 YEKT 2025","TestFeedPage","test_feed_page","",""
"
    Проверка функционала показа/скрытия пароля:
    * При клике на иконку глаза поле пароля должно менять свое состояние
    * Должна изменяться подсветка/стиль поля при изменении его видимости
    ","385","Проверка видимости поля ввода пароля","tests","Wed Aug 06 16:42:33 YEKT 2025","passed","Wed Aug 06 16:42:33 YEKT 2025","TestPassRestore","test_pass_restore","",""
"
    Проверка корректности перехода в личный кабинет:
    * Авторизованный пользователь должен иметь доступ к разделу ""Профиль""
    * При переходе в личный кабинет должен отображаться корректный заголовок раздела
    ","21114","Проверка доступа к профилю после авторизации","tests","Wed Aug 06 16:46:15 YEKT 2025","passed","Wed Aug 06 16:46:36 YEKT 2025","TestUserProfile","test_user_profile","",""
"
    Проверка корректности перехода между разделами:
    * При клике на кнопку навигации должен происходить переход в соответствующий раздел
    * Должен отображаться корректный заголовок раздела
    ","358","Проверка навигации по разделам главной страницы","tests","Wed Aug 06 16:33:34 YEKT 2025","passed","Wed Aug 06 16:33:34 YEKT 2025","TestMainPage","test_main_page","",""
"
    Проверка работы модального окна:
    * При клике на ингредиент должно открываться модальное окно с деталями
    * Окно должно содержать корректный заголовок
    ","382","Проверка отображения деталей ингредиента в модальном окне","tests","Wed Aug 06 16:35:39 YEKT 2025","passed","Wed Aug 06 16:35:40 YEKT 2025","TestMainPage","test_main_page","",""
"
    Проверка корректности работы раздела истории заказов:
    * Авторизованный пользователь должен иметь доступ к истории заказов
    * Раздел ""История заказов"" должен корректно активироваться при переходе
    ","20979","Проверка доступа к истории заказов","tests","Wed Aug 06 16:47:26 YEKT 2025","passed","Wed Aug 06 16:47:47 YEKT 2025","TestUserProfile","test_user_profile","",""
"
    Проверка работы модального окна с деталями заказа:
    * При клике на заказ должно открываться модальное окно с информацией
    * Окно с деталями заказа должно быть видимым на странице
    ","867","Проверка отображения деталей заказа","tests","Wed Aug 06 16:27:28 YEKT 2025","passed","Wed Aug 06 16:27:28 YEKT 2025","TestFeedPage","test_feed_page","",""
"
    Проверка работы счетчика добавленных ингредиентов:
    * При добавлении ингредиента в конструктор должен увеличиваться соответствующий счетчик
    * Счетчик должен отображать корректное количество добавленных ингредиентов
    ","653","Проверка счетчика ингредиентов при добавлении","tests","Wed Aug 06 16:34:28 YEKT 2025","passed","Wed Aug 06 16:34:28 YEKT 2025","TestMainPage","test_main_page","",""
"
    Проверка корректности перехода на страницу восстановления пароля:
    * Должна быть возможность перейти на страницу восстановления пароля с главной страницы авторизации
    * После перехода должен отображаться корректный заголовок страницы
    ","378","Проверка перехода на страницу восстановления пароля","tests","Wed Aug 06 16:41:15 YEKT 2025","passed","Wed Aug 06 16:41:15 YEKT 2025","TestPassRestore","test_pass_restore","",""
"
    Проверка корректности отображения заказов:
    * Заказ, созданный пользователем, должен отображаться в его истории заказов
    * Этот же заказ должен быть виден в общей ленте заказов
    * Номера заказов должны совпадать в обоих разделах
    ","19771","Проверка синхронизации истории заказов и ленты заказов","tests","Wed Aug 06 16:27:39 YEKT 2025","passed","Wed Aug 06 16:27:59 YEKT 2025","TestFeedPage","test_feed_page","",""
"
    Проверка корректности отображения статуса заказа:
    * Новый заказ должен отображаться в разделе ""В работе""
    * Номер заказа должен соответствовать созданному заказу
    * Статус должен обновляться в реальном времени
    ","13330","Проверка статуса нового заказа","tests","Wed Aug 06 16:28:35 YEKT 2025","passed","Wed Aug 06 16:28:48 YEKT 2025","TestFeedPage","test_feed_page","",""
"
    Проверка функционала закрытия модального окна:
    * При клике на кнопку закрытия модальное окно должно скрываться
    * После закрытия окно не должно отображаться на странице
    ","1208","Проверка закрытия модального окна","tests","Wed Aug 06 16:36:30 YEKT 2025","passed","Wed Aug 06 16:36:31 YEKT 2025","TestMainPage","test_main_page","",""
"
    Проверка работы счетчика добавленных ингредиентов:
    * При добавлении ингредиента в конструктор должен увеличиваться соответствующий счетчик
    * Счетчик должен отображать корректное количество добавленных ингредиентов
    ","639","Проверка счетчика ингредиентов при добавлении","tests","Wed Aug 06 16:34:13 YEKT 2025","passed","Wed Aug 06 16:34:14 YEKT 2025","TestMainPage","test_main_page","",""
"
    Проверка работы счетчиков заказов:
    * При создании нового заказа должен увеличиваться счетчик ""Выполнено за все время""
    * При создании нового заказа должен увеличиваться счетчик ""Выполнено за сегодня""
    * Увеличение счетчиков должно быть синхронным
    ","14757","Проверка обновления счетчиков заказов","tests","Wed Aug 06 16:21:45 YEKT 2025","passed","Wed Aug 06 16:22:00 YEKT 2025","TestFeedPage","test_feed_page","",""
"
    Проверка работы модального окна с деталями заказа:
    * При клике на заказ должно открываться модальное окно с информацией
    * Окно с деталями заказа должно быть видимым на странице
    ","634","Проверка отображения деталей заказа","tests","Wed Aug 06 16:27:13 YEKT 2025","passed","Wed Aug 06 16:27:14 YEKT 2025","TestFeedPage","test_feed_page","",""
"
    Проверка корректности перехода между разделами:
    * При клике на кнопку навигации должен происходить переход в соответствующий раздел
    * Должен отображаться корректный заголовок раздела
    ","1170","Проверка навигации по разделам главной страницы","tests","Wed Aug 06 16:33:13 YEKT 2025","passed","Wed Aug 06 16:33:14 YEKT 2025","TestMainPage","test_main_page","",""
"
    Проверка полного цикла восстановления пароля:
    * Система должна запрашивать email пользователя
    * После ввода email система должна переходить на этап ввода кода подтверждения
    * Должно отображаться соответствующее сообщение о необходимости ввода кода
    ","1877","Проверка процесса восстановления пароля","tests","Wed Aug 06 16:42:00 YEKT 2025","passed","Wed Aug 06 16:42:02 YEKT 2025","TestPassRestore","test_pass_restore","",""
"
    Проверка корректности перехода между разделами:
    * При клике на кнопку навигации должен происходить переход в соответствующий раздел
    * Должен отображаться корректный заголовок раздела
    ","882","Проверка навигации по разделам главной страницы","tests","Wed Aug 06 16:33:55 YEKT 2025","passed","Wed Aug 06 16:33:56 YEKT 2025","TestMainPage","test_main_page","",""
"
    Проверка корректности выхода из системы:
    * После нажатия кнопки ""Выход"" пользователь должен быть перенаправлен на страницу авторизации
    * Должен отображаться корректный заголовок страницы авторизации
    ","10339","Проверка выхода из учетной записи","tests","Wed Aug 06 16:48:26 YEKT 2025","passed","Wed Aug 06 16:48:36 YEKT 2025","TestUserProfile","test_user_profile","",""
"
    Проверка полного цикла оформления заказа:
    * Авторизованный пользователь должен иметь возможность оформить заказ
    * После оформления должен отображаться номер заказа
    * Номер заказа должен быть валидным (отличаться от тестового значения)
    ","23091","Проверка оформления заказа авторизованным пользователем","tests","Wed Aug 06 16:36:41 YEKT 2025","passed","Wed Aug 06 16:37:04 YEKT 2025","TestMainPage","test_main_page","",""
"
    Проверка корректности отображения заказов:
    * Заказ, созданный пользователем, должен отображаться в его истории заказов
    * Этот же заказ должен быть виден в общей ленте заказов
    * Номера заказов должны совпадать в обоих разделах
    ","12165","Проверка синхронизации истории заказов и ленты заказов","tests","Wed Aug 06 16:28:12 YEKT 2025","passed","Wed Aug 06 16:28:24 YEKT 2025","TestFeedPage","test_feed_page","",""
"
    Проверка корректности перехода на страницу восстановления пароля:
    * Должна быть возможность перейти на страницу восстановления пароля с главной страницы авторизации
    * После перехода должен отображаться корректный заголовок страницы
    ","141","Проверка перехода на страницу восстановления пароля","tests","Wed Aug 06 16:40:57 YEKT 2025","passed","Wed Aug 06 16:40:57 YEKT 2025","TestPassRestore","test_pass_restore","",""
"
    Проверка корректности отображения статуса заказа:
    * Новый заказ должен отображаться в разделе ""В работе""
    * Номер заказа должен соответствовать созданному заказу
    * Статус должен обновляться в реальном времени
    ","12708","Проверка статуса нового заказа","tests","Wed Aug 06 16:29:01 YEKT 2025","passed","Wed Aug 06 16:29:14 YEKT 2025","TestFeedPage","test_feed_page","",""
"
    Проверка работы счетчика добавленных ингредиентов:
    * При добавлении ингредиента в конструктор должен увеличиваться соответствующий счетчик
    * Счетчик должен отображать корректное количество добавленных ингредиентов
    ","62","Проверка счетчика ингредиентов при добавлении","tests","Wed Aug 06 16:34:48 YEKT 2025","passed","Wed Aug 06 16:34:49 YEKT 2025","TestMainPage","test_main_page","",""
